50
50,50
70,45
86,61
102,57
123,73
149,93
154,86
186,102
191,97
209,100
225,108
242,119
251,117
259,120
269,141
293,137
312,150
307,155
320,159
323,166
335,172
345,182
344,186
348,193
350,200
350,200
350,207
343,219
340,220
336,233
337,242
329,242
319,254
309,262
298,279
293,273
287,279
261,280
249,288
230,315
204,322
200,338
172,350
162,347
147,352
117,365
115,382
93,373
69,385
50,394
50
50,47
66,57
75,66
105,68
112,74
137,78
153,79
181,106
179,91
197,98
229,99
247,109
253,119
255,134
269,141
302,140
299,148
320,153
318,159
329,158
327,175
337,175
346,187
351,198
350,200
351,205
345,205
351,215
345,223
340,225
335,238
319,242
330,253
312,261
299,271
293,273
275,285
266,285
253,310
230,304
214,307
212,328
179,336
165,337
145,358
120,359
101,377
85,381
68,396
49,405
50
50,50
67,50
86,61
107,74
122,73
135,88
156,76
169,91
196,107
207,103
226,100
242,117
259,133
254,131
275,131
300,139
301,146
317,157
324,153
335,164
329,172
339,179
346,186
348,197
350,200
354,196
350,207
348,215
339,218
340,226
335,238
318,251
322,250
298,258
301,279
286,280
271,298
253,306
245,310
222,319
214,323
194,326
180,340
156,351
145,355
127,365
107,375
104,386
82,393
63,402
50
51,52
67,51
86,61
100,66
119,81
146,68
151,94
183,88
182,95
200,104
215,110
248,113
252,119
265,127
275,135
290,140
295,149
311,153
322,155
331,169
332,178
343,178
339,188
344,194
350,200
350,200
350,207
347,218
350,224
341,230
335,232
332,242
319,254
310,274
295,271
296,279
281,292
251,285
245,304
233,320
228,330
202,328
182,325
162,347
138,342
128,359
116,369
102,394
53,380
34,389
50
56,39
68,52
88,44
104,70
123,77
145,74
157,85
170,80
183,98
206,116
226,119
231,112
256,121
269,138
283,136
285,133
300,154
311,153
318,163
329,167
337,169
341,179
345,192
346,190
350,200
350,200
354,208
348,215
347,222
347,224
340,242
324,243
314,252
310,256
290,276
281,288
278,297
260,296
245,308
226,316
214,321
192,328
180,338
162,347
148,355
140,374
107,373
85,378
70,391
51,400
50
63,60
61,55
99,61
94,67
122,73
152,68
166,86
182,86
187,88
212,111
223,109
238,108
248,121
261,126
281,144
290,136
298,152
312,149
316,158
334,162
335,172
345,182
342,189
348,193
350,200
350,198
348,203
346,212
341,220
343,227
333,236
330,237
315,252
305,261
305,269
279,268
264,288
253,285
246,289
235,319
205,318
185,323
178,336
151,341
154,363
126,351
101,380
95,396
76,401
57,410
50
40,50
74,39
80,75
102,62
128,74
145,92
160,93
174,91
193,97
221,106
222,103
229,118
251,122
264,127
266,132
292,136
304,139
311,154
316,152
328,166
336,174
341,179
344,183
348,193
350,200
349,202
350,207
350,215
345,225
347,229
331,238
326,242
322,250
309,262
299,276
299,281
264,284
260,296
245,312
231,311
214,321
206,326
198,339
162,347
142,356
130,349
96,382
89,380
68,387
49,396
50
53,47
81,54
73,71
109,70
124,72
143,73
149,81
170,103
186,95
207,98
225,101
229,115
250,112
264,127
282,137
289,149
292,147
308,161
324,159
323,160
335,172
344,180
344,185
348,195
350,200
349,205
351,206
346,218
348,217
345,232
335,238
329,246
319,254
308,266
286,275
287,279
272,287
258,291
245,304
227,323
202,332
196,330
180,340
163,358
138,359
129,364
108,369
86,394
63,373
44,382
50
36,57
67,55
95,61
104,67
117,73
135,91
140,85
189,88
195,109
213,97
225,110
243,118
254,116
266,128
277,134
280,135
301,152
313,149
320,159
331,164
331,165
337,180
350,184
352,198
350,200
353,200
350,207
349,213
345,222
344,227
337,238
336,248
317,255
309,268
298,270
290,279
269,293
273,290
261,301
230,313
203,311
185,332
184,340
169,344
136,347
122,367
110,372
84,390
75,411
56,420
50
55,47
70,49
86,64
104,60
130,76
142,91
158,88
174,91
191,97
223,102
216,123
238,115
256,123
271,119
279,140
287,143
309,142
311,155
320,159
328,166
337,166
338,182
345,186
345,193
350,200
344,203
353,207
348,215
346,218
338,229
334,230
327,246
323,259
301,260
298,271
287,266
269,279
258,283
240,308
221,315
197,313
191,336
184,353
156,348
149,356
114,365
95,375
89,395
73,405
54,414
